,Close_target
2020-07-25,1.2850333333333332
2020-07-26,1.2881
2020-07-27,1.293
2020-07-28,1.2995
2020-07-29,1.3093
2020-07-30,1.3088
2020-07-31,1.3082666666666667
2020-08-01,1.3077333333333332
2020-08-02,1.3072
2020-08-03,1.306
2020-08-04,1.3112
2020-08-05,1.3146
2020-08-06,1.3051
2020-08-07,1.3057333333333332
2020-08-08,1.3063666666666667
2020-08-09,1.307
2020-08-10,1.3048
2020-08-11,1.3032
2020-08-12,1.3063
2020-08-13,1.3084
2020-08-14,1.309
2020-08-15,1.3096
2020-08-16,1.3102
2020-08-17,1.3235
2020-08-18,1.3098
2020-08-19,1.3212
2020-08-20,1.3087
2020-08-21,1.3079
2020-08-22,1.3071
2020-08-23,1.3063
2020-08-24,1.315
2020-08-25,1.3208
2020-08-26,1.3198
2020-08-27,1.3349
2020-08-28,1.3355666666666666
2020-08-29,1.3362333333333334
2020-08-30,1.3369
2020-08-31,1.3381
2020-09-01,1.3352
2020-09-02,1.328
2020-09-03,1.3282
2020-09-04,1.3243333333333334
2020-09-05,1.3204666666666667
2020-09-06,1.3166
2020-09-07,1.2987
2020-09-08,1.3
2020-09-09,1.2803
2020-09-10,1.2793
2020-09-11,1.2810000000000001
2020-09-12,1.2827
2020-09-13,1.2844
2020-09-14,1.2886
2020-09-15,1.2965
2020-09-16,1.2972
2020-09-17,1.2915
2020-09-18,1.2881333333333334
2020-09-19,1.2847666666666668
2020-09-20,1.2814
2020-09-21,1.2731
2020-09-22,1.2722
2020-09-23,1.2749
2020-09-24,1.2745
2020-09-25,1.2772333333333332
2020-09-26,1.2799666666666667
2020-09-27,1.2827
2020-09-28,1.2861
2020-09-29,1.2916
2020-09-30,1.2889
2020-10-01,1.2931
2020-10-02,1.2946333333333333
2020-10-03,1.2961666666666667
2020-10-04,1.2977
2020-10-05,1.2877
2020-10-06,1.2918
2020-10-07,1.2933
2020-10-08,1.3046
2020-10-09,1.3052
2020-10-10,1.3058
2020-10-11,1.3064
2020-10-12,1.2934
2020-10-13,1.3011
2020-10-14,1.2914
2020-10-15,1.2913
2020-10-16,1.2924333333333333
2020-10-17,1.2935666666666665
2020-10-18,1.2947
2020-10-19,1.2944
2020-10-20,1.3144
2020-10-21,1.3081
2020-10-22,1.304
2020-10-23,1.3034333333333334
2020-10-24,1.3028666666666666
2020-10-25,1.3023
2020-10-26,1.3043
2020-10-27,1.2981
2020-10-28,1.2926
2020-10-29,1.2941
2020-10-30,1.2931333333333332
2020-10-31,1.2921666666666667
2020-11-01,1.2912
2020-11-02,1.3058
2020-11-03,1.2985
2020-11-04,1.3142
2020-11-05,1.3156
2020-11-06,1.3158333333333334
2020-11-07,1.3160666666666667
2020-11-08,1.3163
2020-11-09,1.3271
2020-11-10,1.3221
2020-11-11,1.3114
2020-11-12,1.3186
2020-11-13,1.3187666666666666
2020-11-14,1.3189333333333333
2020-11-15,1.3191
2020-11-16,1.3241
2020-11-17,1.3269
2020-11-18,1.3261
2020-11-19,1.3282
2020-11-20,1.3295666666666668
2020-11-21,1.3309333333333333
2020-11-22,1.3323
2020-11-23,1.3356
2020-11-24,1.3382
2020-11-25,1.3355
2020-11-26,1.3314
2020-11-27,1.3316333333333332
2020-11-28,1.3318666666666668
2020-11-29,1.3321
2020-11-30,1.3415
2020-12-01,1.3363
2020-12-02,1.3452
2020-12-03,1.3437
2020-12-04,1.3416666666666666
2020-12-05,1.3396333333333332
2020-12-06,1.3376
2020-12-07,1.3353
2020-12-08,1.3396
2020-12-09,1.3293
2020-12-10,1.3223
2020-12-11,1.3256000000000001
2020-12-12,1.3289
2020-12-13,1.3322
2020-12-14,1.3461
2020-12-15,1.3507
2020-12-16,1.3582
2020-12-17,1.352
2020-12-18,1.3501
2020-12-19,1.3482
2020-12-20,1.3463
2020-12-21,1.336
2020-12-22,1.3492
2020-12-23,1.3555
2020-12-24,1.3548
2020-12-25,1.3515
2020-12-26,1.3482
2020-12-27,1.3449
2020-12-28,1.35
2020-12-29,1.3622
2020-12-30,1.3673
2020-12-31,1.3671
2021-01-01,1.3637
2021-01-02,1.3603
2021-01-03,1.3569
2021-01-04,1.3624
2021-01-05,1.3607
2021-01-06,1.3563
2021-01-07,1.3563
2021-01-08,1.3546666666666667
2021-01-09,1.3530333333333333
2021-01-10,1.3514
2021-01-11,1.3663
2021-01-12,1.3637
2021-01-13,1.3687
2021-01-14,1.3586
2021-01-15,1.3585333333333334
2021-01-16,1.3584666666666667
2021-01-17,1.3584
2021-01-18,1.3628
2021-01-19,1.3653
2021-01-20,1.3732
2021-01-21,1.3684
2021-01-22,1.3680666666666668
2021-01-23,1.3677333333333332
2021-01-24,1.3674
2021-01-25,1.3733
2021-01-26,1.3686
2021-01-27,1.3718
2021-01-28,1.3702
2021-01-29,1.3688333333333333
2021-01-30,1.3674666666666668
2021-01-31,1.3661
2021-02-01,1.3665
2021-02-02,1.3644
2021-02-03,1.367
2021-02-04,1.3733
2021-02-05,1.3734666666666666
2021-02-06,1.3736333333333333
2021-02-07,1.3738
