,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,Close_lag_6,Close_lag_7,Close_lag_8,Close_lag_9,Close_lag_10,Close_lag_11,Close_lag_12,Close_lag_13,Close_lag_14,Close_lag_15,Close_lag_16,Close_lag_17,Close_lag_18,Close_lag_19,Close_lag_20,Close_frac_diff,Close_frac_diff_d,Close_SMA,Close_slope,Close_volatility,Close_regime,Close_regime_label,Close_trend,Close_detail_1,Close_detail_2,Close_detail_3,Close_details
2020-02-09,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,1.1052,1.1091,1.1082,-0.0011333333333334306,1.0,1.1023900000000002,-1.0075340559082435,0.005085262504223165,-1,downtrend,1.0913492420672073,-0.0007579763508666049,0.0013051235421091022,9.129036332235007e-05,0.0006384375545648473
2020-02-10,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,1.1052,1.1091,-0.0011333333333332085,1.0,1.1015249999999999,-1.028329604571565,0.005499461696146799,-1,downtrend,1.0895906391268502,3.120917310912721e-05,0.000875335909958709,-0.0009963892584502788,-8.984417538244267e-05
2020-02-11,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,1.1052,-0.0011333333333334306,1.0,1.1006399999999998,-1.0727366694380347,0.005638719526165108,-1,downtrend,1.0877833463481508,9.596799629099776e-05,-0.0007472504278298017,0.0009028157900816985,0.00025153335854289456
2020-02-12,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,1.1023,0.0004999999999999449,1.0,1.0997350000000001,-1.1069695920578604,0.006283920583103909,-1,downtrend,1.0860080029989632,-7.329808756362652e-05,-0.001669895701393364,-3.206391661263547e-05,-0.001775257705569626
2020-02-13,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,1.1020666666666667,-0.0042999999999999705,1.0,1.0988200000000001,-1.1240471094967286,0.007161784546798229,-1,downtrend,1.0843366903600864,-0.0001500442123398218,-0.0011355357110341203,-0.000264809210006939,-0.001550389133380881
2020-02-14,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,1.1018333333333332,-0.0030999999999998806,1.0,1.0978666666666665,-1.1383675644036861,0.00793422521892236,-1,downtrend,1.082882999398476,-0.00012031182813559152,0.000178380106060445,-5.11104367131444e-05,6.957841211709077e-06
2020-02-15,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,1.1016,-0.001000000000000112,1.0,1.0969316666666666,-1.1448208945584182,0.008522227387786968,-1,downtrend,1.081751154935039,0.00020639899662212686,0.0016192053781454918,0.00019226565693212372,0.0020178700316997424
2020-02-16,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,1.102,0.00013333333333331865,1.0,1.096015,-1.1673099119896335,0.008967990347743343,-1,downtrend,1.080942266394767,0.0005147733832287226,0.0013401640366800679,-0.0003100926431406864,0.0015448447767681041
2020-02-17,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,1.1009,0.00013333333333331865,1.0,1.095085,-1.2142042046105472,0.009273880033579198,-1,downtrend,1.0804835258588168,0.000534533418615757,-0.0010664421482801541,0.0006027961853240302,7.088745565963302e-05
2020-02-18,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,1.103,0.00013333333333331865,1.0,1.093995,-1.2697811048990815,0.00981951913997717,-1,downtrend,1.0804381362135154,0.00038275263957233534,-0.0020210497224332283,-0.0008516171291520846,-0.0024899142120129777
2020-02-19,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,1.1093,-0.0042999999999999705,1.0,1.0928650000000002,-1.331690163098176,0.010026890599171197,-1,downtrend,1.080828337956581,4.531045678861001e-05,-0.00025242159503973115,0.001600160869345499,0.001393049731094378
2020-02-20,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,1.1081333333333332,0.0013000000000000789,1.0,1.091315,-1.457692162985802,0.009744667007535455,-1,downtrend,1.081682786435195,-0.00036630235112159197,0.0015307268418452088,-0.0023212268183295847,-0.0011568023276059677
2020-02-21,1.0843,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,1.1069666666666667,-0.0020999999999999908,1.0,1.0901233333333333,-1.544255666962191,0.009009248659213579,-1,downtrend,1.0830058192950545,-0.0006272092974508358,0.002233219098975922,0.0014527890740816329,0.003058798875606719
2020-02-22,1.0846,1.0843,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,1.1058,0.006000000000000005,1.0,1.089005,-1.6171216138692879,0.008156239494405092,-1,downtrend,1.0847344483521115,-0.0006135537957758374,0.0012640639333599561,-1.1829096579515613e-05,0.000638681041004603
2020-02-23,1.0849,1.0846,1.0843,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,1.1042,0.00029999999999996696,1.0,1.08796,-1.6808849045691132,0.007170477159164207,-1,downtrend,1.0868312940816223,-0.00024351711081014733,-0.0016492717780375646,-0.0004849584896957921,-0.002377747378543504
2020-02-24,1.0852,1.0849,1.0846,1.0843,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,1.0997,0.00029999999999996696,1.0,1.0870099999999998,-1.7192197283063426,0.006081590473724558,-1,downtrend,1.0893107996077478,0.0003870712661075033,-0.0031676626584818844,0.00026149480722517134,-0.0025190965851492097
2020-02-25,1.0879,1.0852,1.0849,1.0846,1.0843,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,1.098,0.00029999999999996696,1.0,1.08642,-1.7112459118728718,0.0053089949049349135,-1,downtrend,1.0921786816971042,0.0010553651015836809,-0.0016937738913443121,0.0013697917846269606,0.0007313829948663293
2020-02-26,1.0879,1.0879,1.0852,1.0849,1.0846,1.0843,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,1.0943,0.0027000000000001467,1.0,1.0859150000000002,-1.708914323471733,0.004579798956239572,-1,downtrend,1.0954611078676117,0.0014290905894286526,0.00013255845076250711,-0.0036402729073430557,-0.0020786238671518962
2020-02-27,1.0998,1.0879,1.0879,1.0852,1.0849,1.0846,1.0843,1.0783,1.0804,1.0791,1.0834,1.0832666666666666,1.0831333333333333,1.083,1.084,1.0871,1.0914,1.0909,1.0920333333333334,1.0931666666666666,0.0,1.0,1.08619,-1.6185714544499463,0.005228913095833894,-1,downtrend,1.0991678822102338,0.0012902437219115676,0.0015003495032643963,0.002777243092197445,0.005567836317373408
