,Open,High,Low,Close,Close_frac_diff,Close_frac_diff_d,Close_SMA,Close_slope,Close_volatility,Close_regime,Close_regime_label,Close_trend,Close_detail_1,Close_detail_2,Close_detail_3,Close_details
2020-02-08,1.0972333333333333,1.0977000000000001,1.0930333333333333,1.0931666666666666,-0.0037000000000000366,1.0,1.1032583333333332,,0.00469118714635429,0,sideways,1.0930716035694448,-0.0017235062172531602,0.0005939456178186218,0.0004416171020378825,-0.0006879434973966559
2020-02-09,1.0961666666666667,1.0968,1.0918666666666668,1.0920333333333334,-0.0011333333333334306,1.0,1.1023900000000002,-1.0075340559082435,0.005085262504223165,-1,downtrend,1.0913492420672073,-0.0007579763508666049,0.0013051235421091022,9.129036332235007e-05,0.0006384375545648473
2020-02-10,1.0951,1.0959,1.0907,1.0909,-0.0011333333333332085,1.0,1.1015249999999999,-1.028329604571565,0.005499461696146799,-1,downtrend,1.0895906391268502,3.120917310912721e-05,0.000875335909958709,-0.0009963892584502788,-8.984417538244267e-05
2020-02-11,1.0911,1.0926,1.089,1.0914,-0.0011333333333334306,1.0,1.1006399999999998,-1.0727366694380347,0.005638719526165108,-1,downtrend,1.0877833463481508,9.596799629099776e-05,-0.0007472504278298017,0.0009028157900816985,0.00025153335854289456
2020-02-12,1.0916,1.0926,1.0865,1.0871,0.0004999999999999449,1.0,1.0997350000000001,-1.1069695920578604,0.006283920583103909,-1,downtrend,1.0860080029989632,-7.329808756362652e-05,-0.001669895701393364,-3.206391661263547e-05,-0.001775257705569626
2020-02-13,1.0874,1.089,1.0833,1.084,-0.0042999999999999705,1.0,1.0988200000000001,-1.1240471094967286,0.007161784546798229,-1,downtrend,1.0843366903600864,-0.0001500442123398218,-0.0011355357110341203,-0.000264809210006939,-0.001550389133380881
2020-02-14,1.0841,1.0862,1.0827,1.083,-0.0030999999999998806,1.0,1.0978666666666665,-1.1383675644036861,0.00793422521892236,-1,downtrend,1.082882999398476,-0.00012031182813559152,0.000178380106060445,-5.11104367131444e-05,6.957841211709077e-06
2020-02-15,1.0838,1.0858666666666668,1.0825,1.0831333333333333,-0.001000000000000112,1.0,1.0969316666666666,-1.1448208945584182,0.008522227387786968,-1,downtrend,1.081751154935039,0.00020639899662212686,0.0016192053781454918,0.00019226565693212372,0.0020178700316997424
2020-02-16,1.0835,1.0855333333333332,1.0823,1.0832666666666666,0.00013333333333331865,1.0,1.096015,-1.1673099119896335,0.008967990347743343,-1,downtrend,1.080942266394767,0.0005147733832287226,0.0013401640366800679,-0.0003100926431406864,0.0015448447767681041
2020-02-17,1.0832,1.0852,1.0821,1.0834,0.00013333333333331865,1.0,1.095085,-1.2142042046105472,0.009273880033579198,-1,downtrend,1.0804835258588168,0.000534533418615757,-0.0010664421482801541,0.0006027961853240302,7.088745565963302e-05
2020-02-18,1.0838,1.0839,1.0785,1.0791,0.00013333333333331865,1.0,1.093995,-1.2697811048990815,0.00981951913997717,-1,downtrend,1.0804381362135154,0.00038275263957233534,-0.0020210497224332283,-0.0008516171291520846,-0.0024899142120129777
2020-02-19,1.0791,1.0812,1.0782,1.0804,-0.0042999999999999705,1.0,1.0928650000000002,-1.331690163098176,0.010026890599171197,-1,downtrend,1.080828337956581,4.531045678861001e-05,-0.00025242159503973115,0.001600160869345499,0.001393049731094378
2020-02-20,1.0806,1.0822,1.0777,1.0783,0.0013000000000000789,1.0,1.091315,-1.457692162985802,0.009744667007535455,-1,downtrend,1.081682786435195,-0.00036630235112159197,0.0015307268418452088,-0.0023212268183295847,-0.0011568023276059677
2020-02-21,1.0785,1.0865,1.0784,1.0843,-0.0020999999999999908,1.0,1.0901233333333333,-1.544255666962191,0.009009248659213579,-1,downtrend,1.0830058192950545,-0.0006272092974508358,0.002233219098975922,0.0014527890740816329,0.003058798875606719
2020-02-22,1.0803666666666667,1.0867666666666667,1.0791,1.0846,0.006000000000000005,1.0,1.089005,-1.6171216138692879,0.008156239494405092,-1,downtrend,1.0847344483521115,-0.0006135537957758374,0.0012640639333599561,-1.1829096579515613e-05,0.000638681041004603
2020-02-23,1.0822333333333334,1.0870333333333333,1.0798,1.0849,0.00029999999999996696,1.0,1.08796,-1.6808849045691132,0.007170477159164207,-1,downtrend,1.0868312940816223,-0.00024351711081014733,-0.0016492717780375646,-0.0004849584896957921,-0.002377747378543504
2020-02-24,1.0841,1.0873,1.0805,1.0852,0.00029999999999996696,1.0,1.0870099999999998,-1.7192197283063426,0.006081590473724558,-1,downtrend,1.0893107996077478,0.0003870712661075033,-0.0031676626584818844,0.00026149480722517134,-0.0025190965851492097
2020-02-25,1.0854,1.0891,1.0829,1.0879,0.00029999999999996696,1.0,1.08642,-1.7112459118728718,0.0053089949049349135,-1,downtrend,1.0921786816971042,0.0010553651015836809,-0.0016937738913443121,0.0013697917846269606,0.0007313829948663293
2020-02-26,1.0881,1.0909,1.0854,1.0879,0.0027000000000001467,1.0,1.0859150000000002,-1.708914323471733,0.004579798956239572,-1,downtrend,1.0954611078676117,0.0014290905894286526,0.00013255845076250711,-0.0036402729073430557,-0.0020786238671518962
2020-02-27,1.0881,1.1006,1.0879,1.0998,0.0,1.0,1.08619,-1.6185714544499463,0.005228913095833894,-1,downtrend,1.0991678822102338,0.0012902437219115676,0.0015003495032643963,0.002777243092197445,0.005567836317373408
2020-02-28,1.1001,1.1054,1.0951,1.1025,0.011900000000000022,1.0,1.0866566666666666,-1.5047850684714148,0.006208973886656776,-1,downtrend,1.1032310208347258,0.0008126829267767654,0.002869578212195224,0.0005415245645903317,0.004223785703562321
2020-02-29,1.1001666666666667,1.1098333333333332,1.0968333333333333,1.1060666666666668,0.0026999999999999247,1.0,1.0873583333333332,-1.3635525237590151,0.007506027792142293,-1,downtrend,1.1075880130878224,0.00021805457992838005,0.0030583706539952277,-0.000846615307031159,0.002429809926892449
2020-03-01,1.1002333333333334,1.1142666666666667,1.0985666666666667,1.1096333333333332,0.003566666666666718,1.0,1.088295,-1.2010621638183339,0.00899284494662031,-1,downtrend,1.1121849112666968,-0.00019219222747609432,0.0010662276857712801,-0.001231104988412469,-0.0003570695301172832
2020-03-02,1.1003,1.1187,1.1003,1.1132,0.003566666666666496,1.0,1.089385,-1.022586858555008,0.010571585412259088,-1,downtrend,1.1169158397404007,-0.00019086526351817405,-0.002446666500774216,0.0001410532750078386,-0.0024964784892845516
2020-03-03,1.1133,1.1214,1.1095,1.1171,0.003566666666666718,1.0,1.090885,-0.8047393235643185,0.012228762351726452,-1,downtrend,1.1216450594513303,-4.010223634220026e-05,-0.00488592114814908,0.0028216920238913466,-0.002104331360599934
2020-03-04,1.1172,1.1188,1.1094,1.1134,0.0039000000000000146,1.0,1.092355,-0.5883584208514758,0.013094020219058197,-1,downtrend,1.1261858503409852,-1.1280683956267452e-05,-0.004453481946794272,-0.0033190360668395565,-0.007783798697590096
2020-03-05,1.1136,1.1246,1.1119,1.1239,-0.0037000000000000366,1.0,1.0944,-0.3157639057566053,0.014656675225131905,0,sideways,1.1302633482798332,-0.00035190712246207763,-0.0013466013085517107,0.002178912289765176,0.00048040385875138783
2020-03-06,1.1238,1.1356,1.1212,1.1285,0.010499999999999954,1.0,1.0966683333333334,-0.024006357126460376,0.016245663298967275,0,sideways,1.1335822948591163,-0.0012581959679650052,0.0035055046777409064,-6.48398488195411e-05,0.00218246886095636
2020-03-07,1.1256,1.1401999999999999,1.1236,1.1339000000000001,0.0046000000000001595,1.0,1.0992000000000002,0.2905982126157225,0.017907533780001293,0,sideways,1.1358501116902642,-0.0024222546974907474,0.006645978723853402,-0.0019296035688923482,0.0022941204574703066
2020-03-08,1.1274,1.1448,1.1260000000000001,1.1393,0.005400000000000071,1.0,1.101995,0.6310012464785908,0.019594635484389403,1,uptrend,1.1367105370857493,-0.0034749269240215335,0.0055804494567867425,-0.00077383571662717,0.001331686816138039
2020-03-09,1.1292,1.1494,1.1284,1.1447,0.005399999999999849,1.0,1.105275,1.0310833230499084,0.021000517607099242,1,uptrend,1.1357556312686246,-0.004057340034089543,0.0018170391182646282,0.005883940381484589,0.0036436394656596746
2020-03-10,1.1446,1.1459,1.1275,1.1279,0.005400000000000071,1.0,1.10765,1.3528660905052226,0.020723398364314655,1,uptrend,1.1327349301927383,-0.0037875100717039605,-0.00337877458130325,-0.005615330352800049,-0.01278161500580726
2020-03-11,1.1281,1.1368,1.1257,1.1267,-0.016800000000000148,1.0,1.11007,1.718568882494953,0.01992628197758639,1,uptrend,1.127671698876538,-0.002672209439716953,-0.007957980800739032,0.0011313544602682415,-0.009498835780187745
2020-03-12,1.1269,1.1334,1.1055,1.1183,-0.0011999999999998678,1.0,1.1117700000000001,1.9857080391515458,0.019042773951451226,1,uptrend,1.1207810359728425,-0.0007009429168984432,-0.008491092051360267,0.0012584913639176716,-0.00793354360434104
2020-03-13,1.1185,1.1223,1.1054,1.1105,-0.008399999999999963,1.0,1.113065,2.2093562472164985,0.01794697021132163,1,uptrend,1.1125805630730001,0.002251246430846543,-0.0026460276143901013,-0.0010890010045838414,-0.0014837821881273996
2020-03-14,1.1151666666666666,1.1227666666666667,1.1051333333333333,1.1130333333333333,-0.007800000000000029,1.0,1.1144716666666667,2.436823657732523,0.01668112802431906,1,uptrend,1.103699607583096,0.005884853104284114,0.007458847351335359,0.0008475514438762149,0.014191251899495688
2020-03-15,1.1118333333333335,1.1232333333333333,1.1048666666666667,1.1155666666666668,0.0025333333333332764,1.0,1.11599,2.6660288313815173,0.015192107446136173,1,uptrend,1.094669471455556,0.009483227976664472,0.011379201552031936,-0.0014766413720489842,0.019385788156647425
2020-03-16,1.1085,1.1237,1.1046,1.1181,0.0025333333333334984,1.0,1.1175000000000002,2.8607720770972733,0.013678651142418778,1,uptrend,1.0863240487094583,0.011860773356455308,0.004671032403522881,0.0025680990157473218,0.01909990477572551
2020-03-17,1.1183,1.119,1.0955,1.0996,0.0025333333333332764,1.0,1.118085,2.962478647039579,0.012549711559788455,1,uptrend,1.0798269673757517,0.011039817839716323,-0.003677611025816945,-0.0032558544694369753,0.004106352344462403
2020-03-18,1.0997,1.1046,1.0802,1.0913,-0.018500000000000183,1.0,1.11766,2.8972831640873276,0.01332171247969961,1,uptrend,1.075987833113365,0.006076632414986055,-0.008347880542430812,0.0041108258103487085,0.0018395776829039515
2020-03-19,1.0915,1.0982,1.0655,1.069,-0.008299999999999974,1.0,1.115985,2.6989512173424934,0.01694223924870058,1,uptrend,1.075052599097176,-0.0016837682356872236,-0.006553026300986463,-0.004716584985920633,-0.01295337952259432
2020-03-20,1.0692,1.0832,1.0637,1.0694,-0.022299999999999986,1.0,1.1141516666666669,2.4640757799866853,0.019812697432004193,1,uptrend,1.076890035225958,-0.010065805663053174,0.002796457649672685,0.0025841954394975296,-0.004685152573882959
2020-03-21,1.0693333333333332,1.0831,1.0637,1.0703,0.00039999999999995595,1.0,1.112185,2.195176859215553,0.02210443440732704,1,uptrend,1.080633980096032,-0.01539631767548034,0.0073109061110989085,0.0006793127874218441,-0.007406098776959587
2020-03-22,1.0694666666666668,1.083,1.0637,1.0712,0.0009000000000001229,1.0,1.110085,1.9001546744263909,0.023923182314373997,1,uptrend,1.0854143116638975,-0.015082922657121724,0.0015515035872519438,-0.0013485685316505982,-0.014879987601520378
2020-03-23,1.0696,1.0829,1.0637,1.0721,0.0008999999999999009,1.0,1.1078350000000001,1.5537843127369166,0.025304934393875864,1,uptrend,1.0910077039319372,-0.010663530352309127,-0.0028410393621372118,0.00021710740597209044,-0.01328746230847425
2020-03-24,1.0726,1.0889,1.0722,1.0787,0.0009000000000001229,1.0,1.1061,1.2582905740350148,0.02608097601589181,1,uptrend,1.0966579493829822,-0.004002894982848412,-0.002439531062108368,0.001196865782509216,-0.0052455602624475635
2020-03-25,1.0789,1.0894,1.0761,1.088,0.006599999999999939,1.0,1.1043049999999999,0.9050621345028986,0.026026765968587676,1,uptrend,1.101091561506055,0.002257525727928709,-0.0009782412168719524,-0.002215523338025186,-0.0009362388269684295
2020-03-26,1.0881,1.106,1.0869,1.1028,0.009300000000000086,1.0,1.1030200000000001,0.5791784510965847,0.025396125780881885,1,uptrend,1.1035275265787403,0.005586211238656307,0.0020295528839538004,0.0004291539828879416,0.00804491810549805
2020-03-27,1.103,1.1147,1.0953,1.114,0.014799999999999924,1.0,1.1020249999999998,0.2570050946142377,0.02449649425926423,0,sideways,1.1035527101905636,0.007358050104022948,0.0025849853247588888,0.002856709298649888,0.012799744727431724
