,Open,High,Low,Close,Close_frac_diff,Close_frac_diff_d,Close_SMA,Close_slope,Close_volatility,Close_regime,Close_regime_label,Close_trend,Close_detail_1,Close_detail_2,Close_detail_3,Close_details,Close_SMA_5,Close_SMA_10,Close_SMA_20,Close_SMA_50,Close_SMA_200,Close_EMA_5,Close_EMA_10,Close_EMA_20,Close_EMA_50,Close_EMA_200,Close_MACD,Close_MACD_Signal,Close_MACD_Hist,ATR,Plus_DI,Minus_DI,DX,ADX,Close_RSI_7,Close_RSI_14,Close_RSI_21,%K,%D,Close_ROC_5,Close_ROC_10,Close_ROC_20,Close_ROC_60,CCI_20,Close_BB_MA,Close_BB_STD,Close_BB_Upper,Close_BB_Lower,Close_BB_Width,Close_BB_PctB,ATR_14,ATR_Pct_14,ATR_10,KC_Middle,KC_Upper,KC_Lower,KC_Width,body_size,body_size_pct,upper_shadow,lower_shadow,upper_shadow_pct,lower_shadow_pct,direction,doji,dragonfly_doji,gravestone_doji,long_legged_doji,hammer,shooting_star,bullish_engulfing,bearish_engulfing,body_high,body_low,morning_star,evening_star,has_pattern,pattern_confidence,is_peak,is_valley,peak_prominence,valley_prominence,hs_top,hs_bottom,hs_confidence,double_top,double_bottom,double_confidence,support_level,resistance_level,support_strength,resistance_strength,fib_0.000,fib_0.236,fib_0.382,fib_0.500,fib_0.618,fib_0.786,fib_1.000,has_reversal_pattern,upper_channel,lower_channel,channel_width,channel_breakout_up,channel_breakout_down,breakout_strength,returns,volatility,volatility_breakout_up,volatility_breakout_down,volatility_breakout_strength,breakout_up,breakout_down,has_breakout
2020-01-11,1.1112333333333333,1.1135666666666666,1.1094,1.1124333333333334,0.0015000000000000568,1.0,,,,0,sideways,1.113918569609485,-0.0015363397177614506,0.0009279038149117103,-4.4257214623598075e-05,-0.0006526931174733384,1.1120666666666668,1.1147533333333333,,,,1.1128041067587937,1.1145203064841145,1.116643049716527,1.1188554857438668,1.1203994526480499,-0.0023045249804545254,-0.0014887624736080142,-0.0008157625068465112,,,,,,33.168316831683185,,,,,-0.613478662259137,-0.7641986321736516,,,,,,,,,,,,0.005296666666666683,1.116643049716527,1.1272363830498604,1.1060497163831935,0.01897353560929376,0.0012000000000000899,0.28800000000002257,0.0011333333333332085,0.0018333333333333535,0.271999999999971,0.4400000000000064,1,False,False,False,False,False,False,False,False,1.1124333333333334,1.1112333333333333,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.00038968824940033286,,False,False,0.0,False,False,False
2020-01-12,1.1118666666666668,1.1141333333333334,1.1103,1.1128666666666667,0.0004333333333332856,1.0,,,,0,sideways,1.1138429801921716,-0.00010759229270909207,-0.0009148453083153461,-0.00044346703996875835,-0.0014659046409931965,1.11162,1.1143399999999999,,,,1.1128249600614182,1.114219644699124,1.1162833941879688,1.1186206300937807,1.1203244995537078,-0.0023100796243751276,-0.001653025903761437,-0.0006570537206136906,,,,,,29.319371727749115,,,,,-0.2002809912414416,-0.37003879438973764,,,,,,,,,,,,0.0051503333333333505,1.1162833941879688,1.1265840608546356,1.1059827275213021,0.018455289616056452,0.0009999999999998899,0.2608695652173611,0.0012666666666667492,0.0015666666666667162,0.3304347826087153,0.4086956521739236,1,False,False,False,False,False,False,False,False,1.1128666666666667,1.1118666666666668,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.0003895364516224298,,False,False,0.0,False,False,False
2020-01-13,1.1125,1.1147,1.1112,1.1133,0.0004333333333332856,1.0,,,,0,sideways,1.1135284707531705,0.0008866649415351208,-0.0012887353961359375,0.00047945740885235575,7.73869542515391e-05,1.1122200000000002,1.11409,,,,1.1129833067076123,1.1140524365720104,1.1159992614081622,1.1184119779332402,1.1202546040357606,-0.0022535379584129878,-0.0017731283146917472,-0.0004804096437212406,,,,,,24.99999999999953,,,,,0.27019724398809064,-0.22405449005197253,,,,,,,,,,,,0.0049853000000000215,1.1159992614081622,1.1259698614081621,1.1060286614081623,0.017868470607084613,0.0007999999999999119,0.22857142857139956,0.0014000000000000679,0.0013000000000000789,0.4000000000000127,0.37142857142858776,1,False,False,False,False,False,False,False,False,1.1133,1.1125,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.0003893847720601862,,False,False,0.0,False,False,False
2020-01-14,1.1135,1.1146,1.1104,1.1127,0.0004333333333332856,1.0,,,,0,sideways,1.1129181890694526,0.0008716580117842356,0.0006325932071470936,-0.00042640029856989955,0.0010778509203614294,1.11266,1.1136633333333334,,,,1.1128888711384082,1.113806539013463,1.1156850460359562,1.1181879787986033,1.12017943384635,-0.0022314208359821563,-0.0018647868189498292,-0.00036663401703232717,,,,,,35.71428571428552,,,,,0.19810895992795619,-0.3819869288847699,,,,,,,,,,0.004961538461538479,0.4459008233610568,0.004906770000000017,1.1156850460359562,1.1254985860359563,1.105871506035956,0.017591953992513853,0.0007999999999999119,0.19047619047617034,0.001100000000000101,0.0022999999999999687,0.26190476190478706,0.5476190476190426,-1,False,False,False,False,False,False,False,False,1.1135,1.1127,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,-0.0005389382915655938,,False,False,0.0,False,False,False
2020-01-15,1.113,1.1165,1.1118,1.1149,-0.0005999999999999339,1.0,,,,0,sideways,1.111956394801146,0.0003732197522818771,0.0010542137558967907,0.00047755971161562744,0.0019049932197942954,1.1132399999999998,1.11334,,,,1.1135592474256055,1.1140053501019243,1.1156102797468175,1.11805903845356,1.120126902166287,-0.002013164733382755,-0.0018944624018364144,-0.00011870233154634077,0.00494285714285717,10.115606936415979,21.820809248554635,36.65158371040757,,89.65517241379389,37.0212765957446,,,,0.2607913669064654,-0.28917243024086936,,,,,,,,,,0.00494285714285717,0.4433453352638954,0.0048860930000000306,1.1156102797468175,1.1253824657468174,1.1058380937468175,0.01751899597450413,0.0019000000000000128,0.4042553191489261,0.0016000000000000458,0.0012000000000000899,0.3404255319148926,0.2553191489361813,1,False,False,False,False,False,False,False,False,1.1149,1.113,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.001977172643120362,,False,False,0.0,False,False,False
2020-01-16,1.1151,1.1173,1.1128,1.1135,0.0021999999999999797,1.0,,,,0,sideways,1.1106727752631453,-7.410435644731033e-05,-0.0006508035045966018,0.0001161716906751089,-0.0006087361703688033,1.1134533333333334,1.1127600000000002,,,,1.113539498283737,1.1139134682652108,1.115409300723311,1.1178802526318519,1.1200609628412492,-0.0019309052258376092,-0.0019017509666366533,-2.9154259200955823e-05,0.004807142857142883,11.589895988112579,16.196136701337075,16.577540106952668,,71.42857142857098,41.62679425837303,,38.543831293773174,,0.09588589578399809,-0.5181810059858849,,,,,,,,,,0.0049112244897959395,0.44106192095158864,0.004847483700000022,1.115409300723311,1.125104268123311,1.105714333323311,0.0173836947454411,0.0016000000000000458,0.35555555555556984,0.0021999999999999797,0.0006999999999999229,0.48888888888889,0.1555555555555402,-1,False,False,False,False,False,False,False,False,1.1151,1.1135,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,-0.001255718001614503,,False,False,0.0,False,False,False
2020-01-17,1.1136,1.1144,1.1086,1.1088,-0.0014000000000000679,1.0,,,,0,sideways,1.1092831689611309,-3.721285835608128e-05,-0.0011247018342152929,-0.0011478674021020414,-0.0023097820946734156,1.11264,1.11213,,,,1.1119596655224915,1.112983746762445,1.114779843511567,1.117524164293348,1.1199489134597442,-0.0022193810506858647,-0.001965276983446496,-0.0002541040672393688,0.004821428571428595,11.555555555555214,16.74074074074046,18.32460732984355,,34.31372549019527,35.655737704918096,,29.504348495343198,,-0.36542263224106364,-0.5649717514124242,,,,,,,,,,0.004974708454810517,0.4486569674251909,0.004942735330000022,1.114779843511567,1.124665314171567,1.104894372851567,0.01773528776562856,0.0047999999999999154,0.8275862068965333,0.0008000000000001339,0.00019999999999997797,0.13793103448278107,0.03448275862068569,-1,False,False,False,False,False,False,False,False,1.1136,1.1088,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,-0.00422092501122584,,False,False,0.0,False,False,False
2020-01-18,1.1121333333333332,1.1130666666666666,1.1082666666666667,1.109,-0.0046999999999999265,1.0,,,,0,sideways,1.1079467312277405,0.0008828912961603362,3.4511213806058885e-05,0.0008787457314401046,0.0017961482414064996,1.11178,1.1119999999999999,,,,1.1109731103483278,1.1122594291692731,1.114229382224751,1.1171898833406677,1.1198399690472096,-0.0024041483658725493,-0.0020530512599317065,-0.00035109710594084277,0.004773809523809537,10.374064837905063,17.406483790523385,25.31418312387788,,32.775919732440784,33.001422475106395,,16.446915425071573,28.16503173806265,-0.3862391089553552,-0.11708547239485112,,,,,,,,,,0.004962229279466902,0.4474507916561679,0.004928461797000011,1.114229382224751,1.1240863058187511,1.104372458630751,0.017692808592641822,0.0031333333333332103,0.6527777777777637,0.0009333333333334526,0.0007333333333332526,0.1944444444444727,0.15277777777776363,-1,False,False,False,False,False,False,False,False,1.1121333333333332,1.109,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.00018037518037505862,,False,False,0.0,False,False,False
2020-01-19,1.1106666666666667,1.1117333333333335,1.1079333333333332,1.1092,0.00019999999999997797,1.0,,,,0,sideways,1.1066785261991177,0.002097314451659452,0.0007609011661635864,0.0003358662622928266,0.003194081880115865,1.1110799999999998,1.1118700000000001,,,,1.1103820735655519,1.1117031693203143,1.1137503934414414,1.1168765545822101,1.1197340987084314,-0.0025055569647696174,-0.002143552400899289,-0.00036200456387032844,0.00466428571428574,9.290454313424823,18.325676365492523,32.71719038817177,,31.164383561643277,30.11869436201779,,6.0929369120386,17.348066944151125,-0.31455019322369493,-0.11706438541198017,,,,,,,,,,0.0048792129023621416,0.43988576472792473,0.0048156156173000345,1.1137503934414414,1.1233816246760415,1.1041191622068414,0.01729513415450294,0.0014666666666667272,0.3859649122806925,0.0010666666666667712,0.0012666666666667492,0.2807017543859741,0.3333333333333333,-1,False,False,False,False,False,False,False,False,1.1106666666666667,1.1092,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.00018034265103694658,,False,False,0.0,False,False,False
2020-01-20,1.1092,1.1104,1.1076,1.1094,0.00019999999999997797,1.0,1.11361,,0.0036022101727488714,0,sideways,1.105561686590811,0.0029620282495869607,0.00077450569467227,-0.0001367418169411138,0.003599792127318117,1.10998,1.11161,1.11361,,,1.110054715710368,1.1112844112620752,1.1133360702565422,1.1165833563632999,1.1196312718556112,-0.002540500374563326,-0.0022229419956320963,-0.0003175583789312296,0.004492857142857172,8.267090620031539,19.554848966613513,40.571428571429536,,29.473684210525903,26.976744186046062,,10.191297567776465,10.910383301628878,-0.49331778634855716,-0.23381294964029964,,,-109.90642520854342,1.11361,0.0036022101727488714,1.1208144203454977,1.1064055796545023,0.012938857132205585,0.20781827002702524,0.00473069769505057,0.4264194785515206,0.0046140540555700445,1.1133360702565422,1.1225641783676823,1.1041079621454022,0.01657739896815461,0.00019999999999997797,0.0714285714285601,0.001000000000000112,0.0016000000000000458,0.3571428571428798,0.5714285714285601,1,False,False,False,False,False,False,False,False,1.1094,1.1092,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,,,,False,False,0.0,0.00018031013342945101,,False,False,0.0,False,False,False
2020-01-21,1.1095,1.1119,1.1081,1.1082,0.00019999999999997797,1.0,1.11297,,0.0033482630567320606,0,sideways,1.1046929763171411,0.002998461995275282,0.0003240671653352074,-0.0010982205350706408,0.0022243086255398486,1.10892,1.1111866666666665,1.11297,,,1.1094364771402454,1.110723609214425,1.1128469207083,1.1162545972902294,1.119517527857048,-0.0026346526144351845,-0.002305284119392714,-0.0003293684950424706,0.004292857142857177,11.148086522462354,16.63893510815296,19.760479041916728,,27.722772277227477,31.351351351351113,,10.287112129748033,8.857115536521034,-0.47597665020204794,-0.38054714889281804,-1.1418376449598533,,-99.1539324872607,1.11297,0.0033482630567320606,1.1196665261134642,1.1062734738865359,0.012033614766730753,0.14384518784976527,0.004664219288261245,0.42088244795715984,0.004532648650013042,1.1128469207083,1.121912218008326,1.103781623408274,0.01629208318113724,0.0012999999999998568,0.3421052631578548,0.0024000000000001798,9.999999999998899e-05,0.6315789473684641,0.026315789473681135,-1,False,False,False,False,False,False,False,True,1.1095,1.1082,False,False,True,1,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,1.121,1.1088,0.012199999999999989,False,True,0.04918032786884709,-0.0010816657652784611,0.0019736872372495885,False,False,0.0,False,True,True
2020-01-22,1.1084,1.1099,1.1069,1.1091,-0.0011999999999998678,1.0,1.112575,,0.003313623747377216,0,sideways,1.1041176427479247,0.0017869455102139202,-0.0006726276052442722,0.0010844945222477694,0.0021988124272174173,1.10898,1.11081,1.112575,,,1.109324318093497,1.110428407539075,1.1124900711170334,1.1159740248474752,1.1194138708634456,-0.0026065992113211145,-0.002365547137778394,-0.00024105207354272037,0.004028571428571477,11.879432624113205,14.539007092198775,10.067114093961514,,17.045454545453254,45.890410958903665,31.57894736842077,14.031170508270947,11.503193401931815,0.027056277056280997,-0.3384652249445952,-0.7072515666965096,,-112.98187505750249,1.112575,0.003313623747377216,1.1192022474947545,1.1059477525052457,0.011913349652390907,0.23782479055213754,0.0045453464819568785,0.4098229629390387,0.004379383785011749,1.1124900711170334,1.121248838687057,1.1037313035470098,0.015746239534936337,0.0006999999999999229,0.23333333333329878,0.0008000000000001339,0.0015000000000000568,0.2666666666667012,0.5,1,False,False,False,False,False,False,False,False,1.1091,1.1084,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,1.1193,1.1082,0.011099999999999888,False,False,0.0,0.0008121277747699107,0.0019247840418904632,False,False,0.0,False,False,False
2020-01-23,1.1092,1.1109,1.1036,1.1052,0.0008999999999999009,1.0,1.112045,,0.0036055070775899353,0,sideways,1.1039148663001723,-0.00017278271314127584,-0.0009729875644912698,-3.1960652894353055e-05,-0.0011777309305268987,1.10822,1.1099999999999999,1.112045,,,1.1079495453956647,1.1094777879865159,1.1117957786296968,1.1155515140691428,1.1192724393125655,-0.00286602632613131,-0.0024656429754489773,-0.0004003833506823328,0.004335714285714332,11.037891268533537,17.29818780889632,22.093023255815265,,13.274336283184795,35.519125683059514,31.677018633540072,13.006081760315169,12.441454799444715,-0.3426510369702429,-0.7275666936135794,-0.9499910378203968,,-151.4910536779301,1.112045,0.0036055070775899353,1.1192560141551797,1.1048339858448202,0.01296892509777891,0.025378826563311512,0.004742107447531394,0.4290723351005605,0.004671445406510583,1.1117957786296968,1.121138669442718,1.1024528878166757,0.016806847071386303,0.0040000000000000036,0.5479452054794463,0.0017000000000000348,0.0016000000000000458,0.23287671232876922,0.21917808219178458,-1,False,False,False,False,False,False,False,True,1.1092,1.1052,False,False,True,1,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,1.1193,1.1082,0.011099999999999888,False,True,0.2702702702702832,-0.0035163646199621867,0.0018118390132486483,False,False,0.0,False,True,True
2020-01-24,1.1054,1.1063,1.102,1.1023,-0.0039000000000000146,1.0,1.1113116666666667,,0.004019561452323863,0,sideways,1.1040714382358219,-0.0022118185725917734,1.1426739019467936e-05,-0.0004690960225395157,-0.0026694878561118215,1.10684,1.10896,1.1113116666666667,,,1.10606636359711,1.108172735625331,1.110891418760202,1.115031846850745,1.1191035593194056,-0.003267958950827099,-0.002626106170524602,-0.0006418527803024971,0.004321428571428619,9.752066115702398,19.99999999999978,34.44444444444432,,15.789473684209426,25.380710659897602,30.088495575221103,11.597820861453313,12.878357710013143,-0.6220699603317614,-0.9346634312932478,-1.3130800680414167,,-200.43986254295632,1.1113116666666667,0.004019561452323863,1.1193507895713144,1.103272543762019,0.014467809788698998,-0.06048817598351921,0.004710528344136293,0.4273363280537324,0.004634300865859522,1.110891418760202,1.1201600204919209,1.101622817028483,0.016686782479718984,0.0030999999999998806,0.7209302325581167,0.0009000000000001229,0.00029999999999996696,0.20930232558142536,0.06976744186045791,-1,False,False,False,False,False,False,False,False,1.1054,1.1023,False,False,False,0,False,False,,,False,False,0.0,False,False,0.0,,,0,0,,,,,,,,False,1.1193,1.1052,0.014100000000000001,False,True,0.2056737588652413,-0.002623959464350234,0.0019406944771769967,False,False,0.0,False,True,True
