,Close_ROC_20,returns,High,Close_RSI_7,Close_trend,Close_RSI_14,Close_MACD_Hist,Close_ROC_10,Close_detail_2,body_high,Close_ROC_60,Close_ROC_5,DX,Close_detail_3,Close_EMA_5,body_low,Open,direction,Close_BB_PctB,Close_RSI_21,Low,Close_details,Close
2020-01-01,,,1.3276,,1.3171607827707132,,0.0,,0.00016596587837727382,1.3261,,,,0.0032363707229748754,1.3254,1.3254,1.3261,-1,,,1.3237,0.0033998837849205077,1.3254
2020-01-02,,-0.00829938131884711,1.3268,,1.3161434221015034,,-0.0007019943019942687,,-0.0062126511308681215,1.3255,,,,-0.002924295832659202,1.3217333333333334,1.3144,1.3255,-1,,,1.3115,-0.008708818211567028,1.3144
2020-01-03,,-0.004412659768715743,1.3162,,1.3147404607007176,,-0.0014737334924228307,,-0.007078420967832066,1.3138,,,,-0.001758899722595923,1.3173555555555556,1.3086,1.3138,-1,,,1.3054,-0.008074481821286693,1.3086
2020-01-04,,0.0020632737276478075,1.3166666666666667,,1.3130564972430359,,-0.001702922504953342,,0.00037634112769610974,1.3117,,,,0.0028751213979727555,1.3153370370370372,1.3113,1.3117,-1,,,1.3057333333333332,0.004383232235682511,1.3113
2020-01-05,,0.002059025394646641,1.3171333333333335,,1.3113601701608608,,-0.0015761558053124431,,0.004652087151865985,1.314,,,,-0.0005646080807456438,1.3148913580246915,1.3096,1.3096,1,,,1.3060666666666667,0.005247588199896727,1.314
2020-01-06,,0.002054794520547798,1.3176,,1.3098196280757373,,-0.0012293359032540185,,0.0018000528725946987,1.3167,,-0.6564056133997243,,-0.00047236644150321257,1.3154942386831276,1.3075,1.3075,1,,,1.3064,0.0021467195491657784,1.3167
2020-01-07,,-0.003341687552213868,1.3214,,1.3084940747824407,,-0.00121307529733094,,0.0002853595741881624,1.3169,,-0.15976871576384166,,-0.0001387140664061644,1.3144294924554185,1.3123,1.3169,-1,,,1.3095,0.00024861244209927814,1.3123
2020-01-08,,-0.0019812542863674176,1.3171,25.3918495297807,1.3073879381371332,,-0.0012872186232049951,,0.001052889054289585,1.3125,,0.08405930001529338,,0.0008185987090537298,1.3128529949702792,1.3097,1.3125,-1,,,1.308,0.0009902873800559245,1.3097
2020-01-09,,-0.0024433076277010635,1.3125,33.60995850622403,1.3063262093819776,,-0.001449495433126802,,0.0004970924477144112,1.3101,,-0.36604895904827073,,-0.0010596268081353782,1.3107353299801863,1.3065,1.3101,-1,,,1.3013,-0.002044800789507797,1.3065
2020-01-10,,-0.00045924225028692867,1.3097,42.857142857143025,1.3051985323385544,,-0.0014892761656737541,,-0.0005112961994458206,1.3067,,-0.6164383561643838,,0.0005589645993948218,1.3091235533201242,1.3059,1.3067,-1,,,1.3042,-0.001306848421667092,1.3059
2020-01-11,,-0.0018122878219363203,1.3086,29.084380610413376,1.3041433559773958,,-0.0015595435361110215,-1.6498164076253596,-0.0019616508971899036,1.3063,,-0.9999746841852009,,0.00020061401584101538,1.3072601466578606,1.3035333333333334,1.3063,-1,,,1.3015,-0.0025564421752124365,1.3035333333333334
