,0
f0,1.822925329208374
f1,1.79196035861969
f2,0.03383160009980202
f3,0.7491458654403687
f4,0.007741950917989016
f5,10.05315113067627
f6,8.234630584716797
f7,0.008489188738167286
f8,0.003751323791220784
f9,0.0019915751181542873
f10,0.003946821670979261
f11,0.0055354200303554535
f12,0.01564449444413185
f13,0.003516278462484479
f14,0.003961185924708843
f15,0.002509278943762183
f16,0.003562331898137927
f17,0.010054142214357853
f18,0.0019163849065080285
f19,0.0011700934264808893
f20,0.001851273700594902
f22,56.81620407104492
f23,0.0031162553932517767
f24,0.0038399577606469393
f26,1.2017046213150024
f27,0.014290797524154186
f28,0.00859051663428545
f29,0.00776893412694335
f30,0.009197917766869068
