,0
f0,1.725862741470337
f1,0.12637324631214142
f2,0.0014193471288308501
f3,0.0068457829765975475
f4,0.0068661547265946865
f5,0.013470570556819439
f6,0.01650896482169628
f7,0.010191373527050018
f8,0.006096560042351484
f9,0.018471751362085342
f10,0.007350826635956764
f11,0.013147479854524136
f12,0.2677778899669647
f13,0.3405762016773224
f14,0.007138409651815891
f15,0.0042550028301775455
f16,0.0021773572079837322
f17,0.002907154615968466
f18,0.6697436571121216
f19,0.009900246746838093
f20,0.004366643261164427
f22,1.8791816234588623
f23,0.009125914424657822
f24,0.004915106575936079
f26,9.927898406982422
f27,0.01765310950577259
f28,0.012278291396796703
f29,0.008048703894019127
f30,0.009393332526087761
