,0
f0,3.315091133117676
f1,0.009815975092351437
f2,0.009975146502256393
f3,0.03281659260392189
f4,0.005427671130746603
f5,0.01574462093412876
f6,0.009801927953958511
f7,0.017016710713505745
f8,0.0043399278074502945
f9,0.008237186819314957
f10,0.004008938558399677
f11,0.07281958311796188
f12,0.008402401581406593
f13,0.006636245641857386
f14,0.011091923341155052
f15,0.006294994615018368
f16,0.009779175743460655
f17,0.010484042577445507
f18,0.019211960956454277
f19,0.006408901419490576
f20,0.007844661362469196
f22,0.07408680021762848
f23,0.017398638650774956
f24,0.006953219883143902
f26,2.623276948928833
f27,0.038976673036813736
f28,0.01443527266383171
f29,0.020378777757287025
f30,0.017706608399748802
