,Open,High,Low,Close,Close_frac_diff,Close_frac_diff_d,Close_SMA,Close_slope,Close_volatility,Close_regime,Close_regime_label,Close_trend,Close_detail_1,Close_detail_2,Close_detail_3,Close_details,Close_SMA_5,Close_SMA_10,Close_SMA_20,Close_SMA_50,Close_SMA_200,Close_EMA_5,Close_EMA_10,Close_EMA_20,Close_EMA_50,Close_EMA_200,Close_MACD,Close_MACD_Signal,Close_MACD_Hist,ATR,Plus_DI,Minus_DI,DX,ADX,Close_RSI_7,Close_RSI_14,Close_RSI_21,%K,%D,Close_ROC_5,Close_ROC_10,Close_ROC_20,Close_ROC_60,CCI_20,Close_BB_MA,Close_BB_STD,Close_BB_Upper,Close_BB_Lower,Close_BB_Width,Close_BB_PctB,ATR_14,ATR_Pct_14,ATR_10,KC_Middle,KC_Upper,KC_Lower,KC_Width
2020-01-01,1.3261,1.3276,1.3237,1.3254,,1.0,,,,0,sideways,1.3171607827707132,-2.45281643164153e-06,0.00016596587837727382,0.0032363707229748754,0.0033998837849205077,,,,,,1.3254,1.3254,1.3254,1.3254,1.3254,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.3254,,,
2020-01-02,1.3255,1.3268,1.3115,1.3144,,1.0,,,,0,sideways,1.3161434221015034,0.00042812875196029606,-0.0062126511308681215,-0.002924295832659202,-0.008708818211567028,,,,,,1.3217333333333334,1.3234,1.324352380952381,1.3249686274509804,1.3252905472636816,-0.0008774928774928359,-0.00017549857549856718,-0.0007019943019942687,,,,,,,,,,,,,,,,,,,,,,,,,1.324352380952381,,,
2020-01-03,1.3138,1.3162,1.3054,1.3086,-0.010999999999999899,1.0,,,,0,sideways,1.3147404607007176,0.0007628388691412963,-0.007078420967832066,-0.001758899722595923,-0.008074481821286693,,,,,,1.3173555555555556,1.3207090909090908,1.3228521541950113,1.3243267204921185,1.3251244721665305,-0.0020176654410271055,-0.0005439319486042749,-0.0014737334924228307,,,,,,,,,,,,,,,,,,,,,,,,,1.3228521541950113,,,
2020-01-04,1.3117,1.3166666666666667,1.3057333333333332,1.3113,-0.005800000000000027,1.0,,,,0,sideways,1.3130564972430359,0.0011317697100136457,0.00037634112769610974,0.0028751213979727555,0.004383232235682511,,,,,,1.3153370370370372,1.3189983471074378,1.3217519490335816,1.3238158687081139,1.3249869152295501,-0.0026725850797959527,-0.0009696625748426105,-0.001702922504953342,,,,,,,,,,,,,,,,,,,,,,,,,1.3217519490335816,,,
2020-01-05,1.3096,1.3171333333333335,1.3060666666666667,1.314,0.0026999999999999247,1.0,,,,0,sideways,1.3113601701608608,0.001160109128776386,0.004652087151865985,-0.0005646080807456438,0.005247588199896727,1.31474,,,,,1.3148913580246915,1.3180895567242672,1.3210136681732405,1.3234309326803446,1.3248775926899528,-0.0029398573314831644,-0.0013637015261707213,-0.0015761558053124431,,,,,,,,,,,,,,,,,,,,,,,,,1.3210136681732405,,,
2020-01-06,1.3075,1.3176,1.3064,1.3167,0.0027000000000001467,1.0,,,,0,sideways,1.3098196280757373,0.0008190331180742922,0.0018000528725946987,-0.00047236644150321257,0.0021467195491657784,1.313,,,,,1.3154942386831276,1.3178369100471277,1.320602842632932,1.3231669745360175,1.3247962236084607,-0.0029003714052382445,-0.001671035501984226,-0.0012293359032540185,,,,,,,,,,,-0.6564056133997243,,,,,,,,,,,,,,1.320602842632932,,,
2020-01-07,1.3169,1.3214,1.3095,1.3123,0.0026999999999999247,1.0,,,,0,sideways,1.3084940747824407,0.00010196693431728012,0.0002853595741881624,-0.0001387140664061644,0.00024861244209927814,1.31258,,,,,1.3144294924554185,1.316830199129468,1.31981209571551,1.3227408186718599,1.3246718830750432,-0.0031873796236479013,-0.0019743043263169614,-0.00121307529733094,,,,,,,,,,,-0.15976871576384166,,,,,,,,,,,,,,1.31981209571551,,,
2020-01-08,1.3125,1.3171,1.308,1.3097,-0.0043999999999999595,1.0,,,,0,sideways,1.3073879381371332,-0.0008812003832873903,0.001052889054289585,0.0008185987090537298,0.0009902873800559245,1.3128,,,,,1.3128529949702792,1.3155337992877465,1.3188490389806995,1.3222294140180615,1.3245229091140975,-0.0035833276053232055,-0.0022961089821182104,-0.0012872186232049951,,,,,,25.3918495297807,,,,,0.08405930001529338,,,,,,,,,,,,,,1.3188490389806995,,,
2020-01-09,1.3101,1.3125,1.3013,1.3065,-0.0025999999999999357,1.0,,,,0,sideways,1.3063262093819776,-0.00148226642908683,0.0004970924477144112,-0.0010596268081353782,-0.002044800789507797,1.3118400000000001,,,,,1.3107353299801863,1.313891290326338,1.3176729400301568,1.3216125742526474,1.3243435766851015,-0.004107978273526713,-0.0026584828403999113,-0.001449495433126802,,,,,,33.60995850622403,,,,,-0.36604895904827073,,,,,,,,,,,,,,1.3176729400301568,,,
2020-01-10,1.3067,1.3097,1.3042,1.3059,-0.0032000000000000917,1.0,,,,0,sideways,1.3051985323385544,-0.0013545168216160934,-0.0005112961994458206,0.0005589645993948218,-0.001306848421667092,1.31022,1.31248,,,,1.3091235533201242,1.312438328448822,1.3165517076463324,1.3209963948701908,1.3241600585091304,-0.004520078047492104,-0.00303080188181835,-0.0014892761656737541,,,,,,42.857142857143025,,,,,-0.6164383561643838,,,,,,,,,,,,,0.0107777777777778,1.3165517076463324,1.338107263201888,1.294996152090777,0.03274547506241366
